prompt,ground_truth,generated_plan,precision,recall,f1,true_skip_ratio,transmission_rate,num_tokens,latency_s,throughput_tok_per_s
I would like to order a King Hal-Mega Coffee with extra milk.,1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Pour milk 6. Serve beverage 7. Done, 1. Place cup 2. Pour water 3. Pour espresso 4. Pour milk 5. Serve beverage 6. Done,1.000,0.857,0.923,1.0,0.0,33,1.345,24.5
"May I have a Latte with caramel drizzle, thank you?",1. Place cup 2. Drizzle vanilla syrup 3. Pour espresso 4. Pour milk 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle cream syrup 3. Pour black tea 4. Pour drizzle milk 5. Garnish caramel 6. Serve beverage 7. Done,0.429,0.429,0.429,1.0,0.0,50,2.076,24.1
I would like to order a Chamomile Tea with extra milk.,1. Place cup 2. Pour chamomile tea 3. Stir 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Add ice 3. Drizzle chamomile syrup 4. Pour water 5. Stir 6. Pour milk 7. Serve beverage 8. Done,0.625,0.833,0.714,1.0,0.0,48,1.957,24.5
"May I have a One Cold Brew Latte with caramel drizzle, please., thank you?",1. Place cup 2. Add ice 3. Pour cold brew 4. Pour milk 5. Drizzle caramel syrup 6. Serve beverage 7. Done, 1. Place cup 2. Pour water 3. Pour cold brew 4. Garnish caramel 5. Serve beverage 6. Done,0.667,0.571,0.615,1.0,0.0,37,1.529,24.2
I would like to order a Strawberry Cheeseholic Frappe with extra milk.,1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Drizzle cream cheese syrup 5. Pour milk 6. Blend well 7. Pour into cup 8. Pour milk 9. Serve beverage 10. Done, 1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Drizzle cheese syrup 5. Pour milk 6. Blend well 7. Pour into cup 8. Pour milk 9. Serve beverage 1. Done,0.900,0.900,0.900,1.0,0.0,69,2.880,24.0
"Would you get me a Mint Cafe Mocha with whipped cream, please?",1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour espresso 5. Pour milk 6. Garnish mint leaf 7. Garnish whipped cream 8. Serve beverage 9. Done, 1. Place cup 2. Drizzle mint syrup 3. Pour espresso 4. Pour milk 5. Garnish mint leaf 6. Drizzle whipped cream 7. Serve beverage 8. Done,0.875,0.778,0.824,1.0,0.0,57,2.363,24.1
"May I have a One Toffee-Nut Latte with caramel drizzle, please., thank you?",1. Place cup 2. Drizzle toffee nut syrup 3. Pour milk 4. Drizzle caramel syrup 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle toffee nut syrup 3. Pour milk 4. Garnish caramel 5. Serve beverage 6. Done,0.833,0.833,0.833,1.0,0.0,43,1.755,24.5
I would like to order a Cookie Frappe with extra milk.,1. Prepare blender 2. Add ice 3. Drizzle cookie syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour milk 8. Serve beverage 9. Done, 1. Prepare blender 2. Add ice 3. Drizzle cookie syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Pour milk 8. Serve beverage 9. Done,1.000,1.000,1.000,1.0,0.0,56,2.317,24.2
I would like to order a Mega Ade with extra milk.,1. Place cup 2. Add ice 3. Drizzle fruit syrup 4. Pour soda water 5. Stir 6. Pour milk 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle fruit syrup 4. Pour soda water 5. Stir 6. Garnish cherry 7. Serve beverage 8. Done,0.875,0.875,0.875,1.0,0.0,51,2.118,24.1
I would like to order a Cold Brew Decaf with extra milk.,1. Place cup 2. Add ice 3. Pour decaf cold brew 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Add ice 3. Pour decaf cold brew 4. Pour milk 5. Serve beverage 6. Done,1.000,1.000,1.000,1.0,0.0,36,1.472,24.5
"Would you get me a Mango Yogurt Smoothie with whipped cream, please?",1. Prepare blender 2. Add ice 3. Add mango puree 4. Add yogurt 5. Pour milk 6. Blend well 7. Pour into cup 8. Garnish whipped cream 9. Serve beverage 10. Done, 1. Prepare blender 2. Add ice 3. Add mango puree 4. Pour milk 5. Blend well 6. Pour into cup 7. Garnish whipped cream 8. Serve beverage 9. Done,1.000,0.900,0.947,1.0,0.0,59,2.449,24.1
Please may I have a Condensed-Milk Latte with an extra shot of espresso?,1. Place cup 2. Drizzle condensed milk 3. Pour espresso 4. Pour milk 5. Pour espresso 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle condensed milk 3. Pour milk 4. Pour espresso 5. Serve beverage 6. Done,1.000,0.857,0.923,1.0,0.0,38,1.577,24.1
I would like to order a Apple Citron Tea with extra milk.,1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour hot water 5. Stir 6. Pour milk 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour black tea 5. Stir 6. Pour milk 7. Serve beverage 8. Done,0.875,0.875,0.875,1.0,0.0,47,1.918,24.5
Could you please prepare a Royal Milk-Tea Latte with a dash of vanilla syrup for me?,1. Place cup 2. Pour black tea concentrate 3. Pour milk 4. Drizzle vanilla syrup 5. Serve beverage 6. Done, 1. Place cup 2. Drizzle milk syrup 3. Pour black tea 4. Pour milk 5. Pour milk 6. Drizzle vanilla syrup 7. Serve beverage 8. Done,0.625,0.833,0.714,1.0,0.0,53,2.196,24.1
Please may I have a Cube Latte with an extra shot of espresso?,1. Place cup 2. Add ice 3. Pour milk 4. Pour espresso 5. Pour espresso 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle espresso syrup 3. Pour milk 4. Pour espresso 5. Pour milk 6. Serve beverage 7. Done,0.714,0.714,0.714,1.0,0.0,45,1.865,24.1
I would like to order a Mint-Cream Choco Latte with extra milk.,1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour milk 5. Pour milk 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle chocolate syrup 3. Drizzle mint syrup 4. Pour milk 5. Pour milk 6. Serve beverage 7. Done,1.000,1.000,1.000,1.0,0.0,48,1.969,24.4
"Would you get me a Decaf Cafe Latte with whipped cream, please?",1. Place cup 2. Pour decaf espresso shots 3. Pour milk 4. Garnish whipped cream 5. Serve beverage 6. Done, 1. Place cup 2. Pour decaf espresso shots 3. Pour milk 4. Garnish whipped cream 5. Serve beverage 6. Done,1.000,1.000,1.000,1.0,0.0,43,1.780,24.2
"Would you get me a Mega Americano with whipped cream, please?",1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Garnish whipped cream 6. Serve beverage 7. Done, 1. Place cup 2. Pour water 3. Pour espresso 4. Garnish whipped cream 5. Serve beverage 6. Done,1.000,0.857,0.923,1.0,0.0,38,1.545,24.6
Could you please prepare a Cold Brew Original with a dash of vanilla syrup for me?,1. Place cup 2. Add ice 3. Pour cold brew 4. Drizzle vanilla syrup 5. Serve beverage 6. Done, 1. Place cup 2. Add ice 3. Pour cold brew 4. Drizzle vanilla syrup 5. Serve beverage 6. Done,1.000,1.000,1.000,1.0,0.0,39,1.617,24.1
Please may I have a Decaf Americano with an extra shot of espresso?,1. Place cup 2. Add ice 3. Pour water 4. Pour decaf espresso shots 5. Pour espresso 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour decaf espresso shots 4. Pour water 5. Pour espresso 6. Serve beverage 7. Done,1.000,1.000,1.000,1.0,0.0,45,1.869,24.1
"Would you get me a Hal-Mega Coffee with whipped cream, please?",1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Garnish whipped cream 6. Serve beverage 7. Done, 1. Place cup 2. Drizzle espresso syrup 3. Pour espresso 4. Garnish whipped cream 5. Serve beverage 6. Done,0.833,0.714,0.769,1.0,0.0,45,1.841,24.4
"May I have a One Strawberry Pong Crush with caramel drizzle, please., thank you?",1. Prepare blender 2. Add ice 3. Drizzle strawberry syrup 4. Pour milk 5. Blend well 6. Pour into cup 7. Drizzle caramel syrup 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Drizzle strawberry syrup 4. Pour soda water 5. Stir 6. Drizzle caramel syrup 7. Serve beverage 8. Done,0.625,0.556,0.588,1.0,0.0,57,2.385,23.9
I would like to order a Honey Grapefruit Black Tea with extra milk.,1. Place cup 2. Add ice 3. Drizzle honey syrup 4. Add grapefruit slices 5. Pour black tea 6. Stir 7. Pour milk 8. Serve beverage 9. Done, 1. Place cup 2. Add ice 3. Add honey 4. Add grapefruit syrup 5. Pour black tea 6. Stir 7. Pour milk 8. Serve beverage 9. Done,0.778,0.778,0.778,1.0,0.0,53,2.194,24.2
I would like to order a Grapefruit Tea with extra milk.,1. Place cup 2. Add ice 3. Drizzle grapefruit syrup 4. Pour hot water 5. Stir 6. Pour milk 7. Serve beverage 8. Done, 1. Place cup 2. Add ice 3. Drizzle grapefruit syrup 4. Pour hot water 5. Stir 6. Pour milk 7. Serve beverage 8. Done,1.000,1.000,1.000,1.0,0.0,50,2.042,24.5
Please may I have a Hal-Mega Coffee with an extra shot of espresso?,1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Pour espresso 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Garnish mint leaf 6. Pour espresso 7. Serve beverage 8. Done,0.875,1.000,0.933,1.0,0.0,48,1.987,24.2
"Would you get me a Caramel Macchiato with whipped cream, please?",1. Place cup 2. Drizzle caramel syrup 3. Pour milk 4. Pour espresso 5. Garnish caramel 6. Garnish whipped cream 7. Serve beverage 8. Done, 1. Place cup 2. Drizzle Caramel syrup 3. Pour milk 4. Garnish whipped cream 5. Serve beverage 6. Done,1.000,0.750,0.857,1.0,0.0,43,1.793,24.0
Please may I have a King Hal-Mega Coffee with an extra shot of espresso?,1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Pour espresso 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour water 4. Pour espresso 5. Serve beverage 6. Done,1.000,0.857,0.923,1.0,0.0,33,1.350,24.4
"May I have a One Cold Brew Concentrate with caramel drizzle, please., thank you?",1. Place cup 2. Pour cold brew concentrate 3. Drizzle caramel syrup 4. Serve beverage 5. Done, 1. Place cup 2. Add ice 3. Pour hot water 4. Pour cold brew concentrate 5. Drizzle caramel syrup 6. Serve beverage 7. Done,0.714,1.000,0.833,1.0,0.0,48,2.015,23.8
I would like to order a Green Tea with extra milk.,1. Place cup 2. Pour green tea 3. Stir 4. Pour milk 5. Serve beverage 6. Done, 1. Place cup 2. Pour green tea 3. Stir 4. Pour milk 5. Serve beverage 6. Done,1.000,1.000,1.000,1.0,0.0,32,1.312,24.4
"May I have a with caramel drizzle, thank you?",1. Place cup 2. Add ice 3. Drizzle apple syrup 4. Pour hot water 5. Stir 6. Drizzle caramel syrup 7. Serve beverage 8. Done, 1. Place cup 2. Drizzle caramel syrup 3. Pour water 4. Stir 5. Serve beverage 6. Done,0.833,0.625,0.714,1.0,0.0,38,1.581,24.0
Please may I have a Lemonade with an extra shot of espresso?,1. Place cup 2. Add ice 3. Pour lemonade 4. Garnish lemon slice 5. Pour espresso 6. Serve beverage 7. Done, 1. Place cup 2. Add ice 3. Pour lemonade 4. Garnish lemon slice 5. Pour espresso 6. Serve beverage 7. Done,1.000,1.000,1.000,1.0,0.0,44,1.802,24.4
